Country,Code,Year,Population,Energy_per_capita,Annual_Mean,Temp_5yr_Smooth,Total_Energy_Proxy,Total_Energy_TWh,Population_Millions,Temp_Change_YoY,Decade,High_Energy_Use,Climate_Band
Benin,BEN,2017,12039780.0,2445.91,28.34,28.37,29448231543.558,29.448231543558,12.04,-0.19000000000000128,2010,False,Warm
Benin,BEN,2018,12383347.0,2616.54,28.33,28.38,32401528951.0535,32.4015289510535,12.38,-0.010000000000001563,2010,False,Warm
Benin,BEN,2019,12726755.0,2371.68,28.17,28.38,30183745754.7575,30.1837457547575,12.73,-0.1599999999999966,2010,False,Warm
Benin,BEN,2020,13070169.0,2427.17,28.43,28.36,31723502486.4765,31.7235024864765,13.07,0.259999999999998,2020,False,Warm
Benin,BEN,2021,13413417.0,1837.1,28.7,28.34,24641812514.850597,24.641812514850596,13.41,0.2699999999999996,2020,False,Warm
Benin,BEN,2022,13759501.0,1841.33,28.09,28.31,25335775096.579502,25.335775096579503,13.76,-0.6099999999999994,2020,False,Warm
Bhutan,BTN,2014,733139.0,6002.03,10.56,10.46,4400320072.753,4.400320072753,0.73,0.0,2010,False,Mild
Bhutan,BTN,2015,740618.0,6218.04,10.29,10.44,4605188645.63,4.60518864563,0.74,-0.27000000000000135,2010,False,Mild
Bhutan,BTN,2016,747866.0,6783.46,10.71,10.43,5073117226.695001,5.073117226695,0.75,0.4200000000000017,2010,False,Mild
Bhutan,BTN,2017,754335.0,7141.91,10.66,10.44,5387389813.377,5.387389813377,0.75,-0.05000000000000071,2010,False,Mild
Bhutan,BTN,2018,759759.0,8095.73,10.27,10.46,6150807072.009601,6.1508070720096,0.76,-0.39000000000000057,2010,False,Mild
Bhutan,BTN,2019,764824.0,8204.15,10.51,10.48,6274733114.0720005,6.274733114072,0.76,0.2400000000000002,2010,False,Mild
Bhutan,BTN,2020,770006.0,11798.36,10.34,10.52,9084808760.166,9.084808760166,0.77,-0.16999999999999993,2020,False,Mild
Bhutan,BTN,2021,775442.0,18890.2,10.73,10.56,14648254468.4,14.6482544684,0.78,0.39000000000000057,2020,True,Mild
Bhutan,BTN,2022,780914.0,20151.47,10.56,10.6,15736562700.838001,15.736562700838002,0.78,-0.16999999999999993,2020,True,Mild
Bolivia,BOL,2014,10848888.0,7439.61,20.99,20.8,80711456597.6832,80.7114565976832,10.85,0.0,2010,False,Warm
Bolivia,BOL,2015,11014705.0,7687.7,21.23,20.88,84677717888.7965,84.6777178887965,11.01,0.240000000000002,2010,False,Warm
Bolivia,BOL,2016,11180020.0,7971.47,20.87,20.94,89121224215.45401,89.121224215454,11.18,-0.35999999999999943,2010,False,Warm
Bolivia,BOL,2017,11344587.0,8260.95,20.95,20.98,93717100011.411,93.71710001141099,11.34,0.0799999999999983,2010,False,Warm
Bolivia,BOL,2018,11508368.0,8327.18,20.55,20.98,95832228825.504,95.832228825504,11.51,-0.3999999999999986,2010,False,Warm
Bolivia,BOL,2019,11671386.0,8193.27,20.88,20.95,95626816772.22,95.62681677222,11.67,0.3299999999999983,2010,False,Warm
Bolivia,BOL,2020,11816299.0,6695.95,21.34,20.9,79121323656.45201,79.121323656452,11.82,0.46000000000000085,2020,False,Warm
Bolivia,BOL,2021,11937360.0,7936.34,20.8,20.84,94738959599.76001,94.73895959976001,11.94,-0.5399999999999991,2020,False,Warm
Bolivia,BOL,2022,12077154.0,8554.58,20.68,20.77,103314931756.704,103.314931756704,12.08,-0.120000000000001,2020,False,Warm
Botswana,BWA,2014,2172044.0,8857.14,22.02,22.22,19238091278.028,19.238091278028,2.17,0.0,2010,False,Warm
Botswana,BWA,2015,2203273.0,10640.03,22.65,22.35,23442884208.371,23.442884208370998,2.2,0.629999999999999,2010,False,Warm
Botswana,BWA,2016,2234776.0,11547.97,22.67,22.46,25807135143.824,25.807135143824002,2.23,0.020000000000003126,2010,False,Warm
Botswana,BWA,2017,2266747.0,10434.4,22.11,22.5,23652153963.788002,23.652153963788002,2.27,-0.5600000000000023,2010,False,Warm
Botswana,BWA,2018,2299141.0,10197.87,22.3,22.47,23446343328.810997,23.446343328810997,2.3,0.19000000000000128,2010,False,Warm
Botswana,BWA,2019,2332083.0,9783.12,22.98,22.37,22815050171.043,22.815050171042998,2.33,0.6799999999999997,2010,False,Warm
Botswana,BWA,2020,2365894.0,9292.53,22.06,22.22,21985143337.714,21.985143337714,2.37,-0.9200000000000017,2020,False,Warm
Botswana,BWA,2021,2401441.0,9660.03,21.74,22.04,23198001708.994,23.198001708994,2.4,-0.3200000000000003,2020,False,Warm
Botswana,BWA,2022,2439892.0,12002.06,22.0,21.84,29283742376.98,29.28374237698,2.44,0.26000000000000156,2020,False,Warm
Brazil,BRA,2014,200085127.0,17870.57,25.66,25.68,3575635268012.39,3575.63526801239,200.09,0.0,2010,True,Warm
Brazil,BRA,2015,201675532.0,17530.33,25.97,25.76,3535438225534.496,3535.4382255344963,201.68,0.3099999999999987,2010,True,Warm
Brazil,BRA,2016,203218114.0,16983.99,25.84,25.82,3451454415994.8604,3451.4544159948605,203.22,-0.129999999999999,2010,True,Warm
Brazil,BRA,2017,204703445.0,16988.62,25.77,25.85,3477629039795.9,3477.6290397959,204.7,-0.07000000000000028,2010,True,Warm
Brazil,BRA,2018,206107261.0,16915.36,25.59,25.84,3486377900107.177,3486.3779001071766,206.11,-0.17999999999999972,2010,True,Warm
Brazil,BRA,2019,207455459.0,17194.14,25.94,25.8,3567019243087.555,3567.019243087555,207.46,0.3500000000000014,2010,True,Warm
Brazil,BRA,2020,208660842.0,16401.88,25.93,25.74,3422429047878.75,3422.42904787875,208.66,-0.010000000000001563,2020,True,Warm
Brazil,BRA,2021,209550294.0,17089.93,25.57,25.66,3581199017738.2437,3581.1990177382436,209.55,-0.35999999999999943,2020,True,Warm
Brazil,BRA,2022,210306415.0,17744.19,25.54,25.57,3731717616898.0947,3731.7176168980945,210.31,-0.030000000000001137,2020,True,Warm
Bulgaria,BGR,2014,7073572.0,29286.61,12.0,11.94,207160923250.204,207.160923250204,7.07,0.0,2010,True,Mild
Bulgaria,BGR,2015,6984225.0,31303.37,11.85,12.0,218629786322.475,218.629786322475,6.98,-0.15000000000000036,2010,True,Mild
Bulgaria,BGR,2016,6894139.0,29900.99,11.9,12.05,206141567509.332,206.141567509332,6.89,0.05000000000000071,2010,True,Mild
Bulgaria,BGR,2017,6803468.0,30834.58,11.75,12.1,209782105537.31198,209.782105537312,6.8,-0.15000000000000036,2010,True,Mild
Bulgaria,BGR,2018,6710798.0,31149.06,12.34,12.16,209035029417.486,209.035029417486,6.71,0.5899999999999999,2010,True,Mild
Bulgaria,BGR,2019,6616726.0,30327.92,12.81,12.21,200671563256.824,200.67156325682402,6.62,0.47000000000000064,2010,True,Mild
Bulgaria,BGR,2020,6550696.0,28177.62,12.49,12.27,184582989870.04,184.58298987004,6.55,-0.3200000000000003,2020,True,Mild
Bulgaria,BGR,2021,6507301.0,32263.27,11.97,12.32,209946783105.066,209.946783105066,6.51,-0.5199999999999996,2020,True,Mild
Bulgaria,BGR,2022,6465097.0,33606.04,12.28,12.38,217266327781.171,217.266327781171,6.47,0.3099999999999987,2020,True,Mild
Burundi,BDI,2014,10799785.0,166.76,20.34,20.53,1801000766.03025,1.80100076603025,10.8,0.0,2010,False,Warm
Burundi,BDI,2015,11047580.0,166.04,20.44,20.55,1834344270.8046,1.8343442708046,11.05,0.10000000000000142,2010,False,Warm
Burundi,BDI,2016,11239451.0,182.13,20.66,20.57,2047060317.6966999,2.0470603176966997,11.24,0.21999999999999886,2010,False,Warm
Burundi,BDI,2017,11506762.0,210.26,20.88,20.58,2419420178.05626,2.41942017805626,11.51,0.21999999999999886,2010,False,Warm
Burundi,BDI,2018,11859446.0,263.73,20.38,20.57,3127648406.6021004,3.1276484066021,11.86,-0.5,2010,False,Warm
Burundi,BDI,2019,12255336.0,260.23,20.61,20.55,3189260010.7584,3.1892600107584,12.26,0.23000000000000043,2010,False,Warm
Burundi,BDI,2020,12617036.0,285.65,20.42,20.52,3604097464.93736,3.6040974649373596,12.62,-0.18999999999999773,2020,False,Warm
Burundi,BDI,2021,12965481.0,272.58,20.51,20.48,3534186562.5483,3.5341865625483,12.97,0.08999999999999986,2020,False,Warm
Burundi,BDI,2022,13321097.0,273.35,20.43,20.44,3641384207.6839595,3.6413842076839593,13.32,-0.08000000000000185,2020,False,Warm
Cambodia,KHM,2014,15396772.0,1792.55,27.41,27.56,27599435918.6068,27.5994359186068,15.4,0.0,2010,False,Warm
